City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Finote Selam,ET,10.7,37.2667,56.48,94,100,1.41,overcast clouds
172,Charagua,BO,-19.8,-63.2167,59.0,50,63,2.57,broken clouds
173,Inta,RU,66.0317,60.1659,61.93,78,100,5.93,overcast clouds
174,Padang,ID,-0.9492,100.3543,79.34,83,64,2.95,broken clouds
175,Yazman,PK,29.1212,71.7446,93.34,47,99,11.61,overcast clouds
176,Paldiski,EE,59.3567,24.0531,58.91,64,6,8.99,clear sky
177,Necochea,AR,-38.5473,-58.7368,46.04,68,100,5.5,overcast clouds
178,Drabiv,UA,49.963,32.1529,60.21,71,1,4.97,clear sky
179,Suda,RU,59.1525,37.5582,55.51,88,4,8.7,clear sky
180,Alta Floresta,BR,-9.8756,-56.0861,73.45,36,0,3.83,clear sky
181,Kiomboi,TZ,-4.2667,34.3667,58.41,69,4,4.59,clear sky
182,Kasongo-Lunda,CD,-6.4667,16.8167,68.56,30,5,1.7,clear sky
183,Bariloche,AR,-41.1456,-71.3082,46.44,48,0,8.05,clear sky
184,Maralal,KE,1.0968,36.698,57.15,75,100,4.97,overcast clouds
185,Huicungo,PE,-7.2833,-76.8,70.5,78,26,2.62,scattered clouds
186,Nicoya,CR,10.1483,-85.452,74.75,91,100,0.31,overcast clouds
187,San Andrés,CO,12.5847,-81.7006,77.02,94,90,9.22,light intensity drizzle
188,Chapais,CA,49.7834,-74.8492,48.27,75,25,4.41,scattered clouds
189,Gagnoa,CI,6.1293,-5.9437,69.64,97,95,2.68,overcast clouds
190,Buraidah,SA,26.326,43.975,86.52,14,7,9.13,clear sky
191,Hambantota,LK,6.1241,81.1185,79.41,80,100,17.9,overcast clouds
192,Turaif,SA,31.6725,38.6637,81.63,24,3,10.22,clear sky
193,Salinópolis,BR,-0.6136,-47.3561,78.42,80,76,4.43,broken clouds
194,Henties Bay,NA,-22.116,14.2845,58.86,77,0,5.68,clear sky
195,Viedma,AR,-40.8135,-62.9967,48.11,71,7,7.47,clear sky
196,Lucapa,AO,-8.4192,20.7447,64.36,34,0,2.98,clear sky
197,Lagos,NG,6.5833,3.75,75.2,94,95,4.16,light rain
198,Kajaani,FI,64.2273,27.7285,53.65,71,0,16.11,clear sky
199,Eenhana,NA,-17.4667,16.3333,55.24,38,0,3.04,clear sky
200,Bāfq,IR,31.6128,55.4107,83.34,16,40,2.44,scattered clouds
201,Porto-Novo,BJ,6.4965,2.6036,76.05,88,95,6.29,overcast clouds
202,Ébolowa,CM,2.9,11.15,68.11,99,100,2.44,light rain
203,San Juan,AR,-31.5375,-68.5364,59.79,27,8,5.5,clear sky
204,Puerto Madryn,AR,-42.7692,-65.0385,51.39,56,100,14.85,overcast clouds
205,Lyubech,UA,51.7026,30.6569,57.56,70,39,4.97,scattered clouds
206,Bandarbeyla,SO,9.4942,50.8122,79.48,69,4,26.89,clear sky
