City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Miandrivazo,MG,-19.5167,45.4667,73.18,67,80,2.53,broken clouds
266,Banes,CU,20.9625,-75.7186,93.81,67,23,14.88,few clouds
267,Jutaí,BR,-5.1833,-68.9,87.78,32,29,2.86,scattered clouds
268,Bartica,GY,6.4,-58.6167,77.32,92,68,2.91,light rain
269,Yeola,IN,20.0333,74.4833,73.89,83,100,20.04,overcast clouds
270,Niğde,TR,37.8333,34.75,63.52,34,0,8.39,clear sky
271,Kyabé,TD,9.4515,18.9449,72.68,91,100,2.28,overcast clouds
272,Arona,ES,28.0996,-16.681,69.03,68,0,10.0,clear sky
273,Brae,GB,60.3964,-1.353,49.91,80,100,14.03,overcast clouds
274,Mahibadhoo,MV,3.7833,72.9667,82.22,75,100,8.93,overcast clouds
275,Nuuk,GL,64.1835,-51.7216,59.61,55,20,8.05,few clouds
276,Vila do Maio,CV,15.1333,-23.2167,81.39,75,9,4.16,clear sky
277,Imbituba,BR,-28.24,-48.6703,66.09,78,99,14.0,light rain
278,Meulaboh,ID,4.1363,96.1285,75.07,88,100,3.69,overcast clouds
279,Storforshei,NO,66.4043,14.5233,49.78,61,40,11.5,scattered clouds
280,Sovetskiy,RU,61.3614,63.5842,56.25,95,5,5.59,clear sky
281,Rabo de Peixe,PT,37.8,-25.5833,71.11,94,75,19.57,broken clouds
282,Lisala,CD,2.15,21.5167,69.96,91,99,1.59,overcast clouds
283,Mbini,GQ,1.574,9.6134,80.44,86,100,8.39,moderate rain
284,Marsh Harbour,BS,26.5412,-77.0636,85.26,70,56,9.73,broken clouds
285,Yabrūd,SY,33.9674,36.6574,76.66,30,0,4.97,clear sky
286,Zenzeli,RU,45.9241,47.0474,79.5,54,0,8.25,clear sky
287,Menongue,AO,-14.6585,17.691,57.52,36,0,5.46,clear sky
288,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,100,90,9.22,mist
289,Sangre Grande,TT,10.5835,-61.1177,86.9,79,16,8.28,few clouds
290,West Melbourne,US,28.0717,-80.6534,98.01,61,40,10.36,scattered clouds
291,Pisco,PE,-13.7,-76.2167,66.25,72,20,9.22,haze
292,Proletarskiy,RU,50.7914,35.7731,80.69,44,99,1.74,overcast clouds
293,Dārāb,IR,28.7519,54.5444,91.33,30,87,6.93,overcast clouds
294,Marovoay,MG,-16.1,46.6333,71.74,61,5,2.55,clear sky
295,Batouri,CM,4.4333,14.3667,68.5,97,100,0.98,moderate rain
296,Kiryat Gat,IL,31.61,34.7642,85.41,56,0,4.27,clear sky
297,Adré,TD,13.4667,22.2,69.04,87,100,15.59,overcast clouds
298,Juazeiro do Norte,BR,-7.2131,-39.3153,78.76,53,75,9.22,broken clouds
299,Bubaque,GW,11.2833,-15.8333,79.29,82,76,18.19,moderate rain
300,Tabou,CI,4.423,-7.3528,76.24,82,74,7.7,broken clouds
