City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Makokou,GA,71.78,light rain,0.5738,12.8642,Motel des voyageurs
192,Vardø,NO,56.95,broken clouds,70.3705,31.1107,Vardø Hotel AS
195,Limburg,NL,63.45,overcast clouds,51.25,6.0,B & B Helena's Hoeve
199,Longyearbyen,SJ,46.24,light rain,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
202,Plettenberg Bay,ZA,56.73,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
204,Lichinga,MZ,60.89,overcast clouds,-13.3128,35.2406,Residencial Bendiak
207,Vila Franca do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
209,Klaksvík,FO,49.12,broken clouds,62.2266,-6.589,Airbnb rooms
212,Kosa,RU,53.58,few clouds,59.9445,54.9977,Gostinitsa V Kose
215,Tromsø,NO,48.22,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
216,Qaqortoq,GL,61.3,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
217,Lady Frere,ZA,55.44,overcast clouds,-31.7031,27.2329,Goshen BnB
218,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
221,Muros,ES,65.08,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
223,Nässjö,SE,56.32,overcast clouds,57.6531,14.6968,Hotell Högland
228,Végueta,PE,67.03,few clouds,-11.0231,-77.6431,Hospedaje Gavión
230,Torbay,CA,72.37,scattered clouds,47.6666,-52.7314,Gallows Cove
231,Santoña,ES,67.69,overcast clouds,43.4439,-3.4576,Playamar
232,Stokmarknes,NO,50.49,broken clouds,68.5646,14.9108,Vesterålen Kysthotell
